Id,M,Category,Shift,a_A1,a_A2,a_A3,a_A4,a_B1,a_B2,a_B3,a_B4,a_B5,a_B6,a_B7,a_C1,a_C2,a_C3,a_C4,a_D1,a_D2,a_D3,a_D4,b_C1,b_C2,b_C3,b_C4,LT_A,LT_AA,LT_B,LT_C,LT_D,LT_FA,LT_Plant,LeanBuffer,Out,WIP_A,WIP_AA,WIP_B,WIP_C,WIP_D,WIP_FA,WaitingParts,maxOut,minLT_Plant,minLeanBuffer,minWaitingParts,max_Out,min_LB,min_LTPlant,min_WaitingParts
15720,false,Cluster_6,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,1504.0,224.0,32.0,32.0,12.54826375,2.49734735,14.33163633,11.59082738,20.12005759,15.12496164,37.74236658,7966.0,35150.5,1499.75,104.5,1821.75,1064.5,2373.5,1102.0,662128.5,35150.5,37.7,7966.0,183.9,35150.5,7966.0,37.7,183.9
15728,false,Cluster_4,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0,2.0,3.0,1.0,1440.0,320.0,64.0,32.0,12.90569313,2.807298024,14.54484306,11.7100464,20.21603563,15.37572699,38.39906064,8050.0,36267.5,1411.75,128.5,1819.5,1234.75,2290.5,1165.0,441808.5,36267.5,38.4,8050.0,122.7,36267.5,8050.0,38.4,122.7
15739,false,Cluster_1,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,15.0,1.0,1.0,2.0,1.0,16.0,1.0,19.0,1.0,2.0,1.0,1312.0,928.0,64.0,32.0,9.347442109,3.553452018,11.45945734,21.28521473,17.57592398,17.26292021,42.10158696,9943.25,39573.0,1415.25,171.75,1781.25,1935.0,2458.25,2181.75,13277.0,39573.0,42.1,9943.25,3.7,39573.0,9943.25,42.1,3.7
15744,false,Cluster_6,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,2.0,1.0,1.0,1.0,1504.0,224.0,32.0,32.0,12.94798471,2.474286994,14.69187446,11.99535811,20.85411892,14.64203588,37.97044179,7932.25,34929.75,1470.0,121.25,1821.5,1122.0,2362.75,1034.75,655895.25,34929.75,38.0,7932.25,182.2,34929.75,7932.25,38.0,182.2
15761,false,Cluster_1,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,16.0,1.0,19.0,2.0,2.0,1.0,1088.0,928.0,64.0,32.0,9.074774863,3.401032145,11.39304116,22.26294883,19.22364918,17.78492045,43.44890142,10080.75,39600.0,1356.75,141.0,1788.0,1904.5,2536.5,2354.0,10035.25,39600.0,43.4,10080.75,2.8,39600.0,10080.75,43.4,2.8
15780,false,Cluster_4,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,1088.0,256.0,64.0,32.0,22.08119145,4.925016349,23.06282509,18.38145697,24.336869,13.65687467,42.91876002,7162.25,36394.5,1076.5,56.25,1670.25,1313.75,2526.75,518.75,613584.0,36394.5,42.9,7162.25,170.4,36394.5,7162.25,42.9,170.4
15783,false,Cluster_6,3.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,3.0,1.0,1.0,1.0,1504.0,256.0,32.0,32.0,17.54495168,2.69539418,18.78037796,15.03790352,23.49936494,14.34005426,40.53481338,7867.25,35279.25,1427.5,119.75,1850.25,1227.5,2390.0,852.25,498127.25,35279.25,40.5,7867.25,138.4,35279.25,7867.25,40.5,138.4
15787,false,Cluster_3,4.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,1.0,4.0,1.0,1.0,1.0,1312.0,608.0,32.0,32.0,9.851382123,3.218329658,12.09120702,10.59889134,18.43913536,14.63059988,36.2880649,8415.5,38509.5,1330.0,210.75,1779.25,1229.5,2303.0,1563.0,271556.5,38509.5,36.3,8415.5,75.4,38509.5,8415.5,36.3,75.4
15806,false,Cluster_5,4.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,1056.0,832.0,32.0,32.0,8.525259482,3.236192305,11.18424714,13.33655322,17.09209939,16.30167057,36.62996226,9126.25,39496.5,1342.75,187.75,1782.0,1302.5,2531.75,1979.5,78129.5,39496.5,36.6,9126.25,21.7,39496.5,9126.25,36.6,21.7
15817,false,Cluster_1,4.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,16.0,1.0,19.0,7.0,3.0,1.0,1408.0,704.0,64.0,32.0,9.230757421,2.98052059,10.75368292,16.16343405,17.90053248,17.45919222,38.34024529,10047.25,39600.0,1447.75,141.5,1787.75,1818.75,2159.25,2692.25,39756.0,39600.0,38.3,10047.25,11.0,39600.0,10047.25,38.3,11.0
