Iteration;Investment;TP;LeanBuffer;B1;B2;S1;A1;A2;A3;A4;A5;S2;PartsProduced;Throughput;LeadTime;WIP;InvB1;InvB2;InvFastMachine;InvA1;InvA2;InvA3;InvA4;InvA5;InvMultiPurpose;Rank;
135;210000;0,833888888888889;17;9;8;1;95;93;91;94;91;1;600,4;0,833888888888889;91179,4315534614;21,3101634196415;40000;30000;0;50000;30000;10000;40000;10000;0;109;
136;100000;0,834166666666667;18;8;10;1;91;90;90;91;90;1;600,6;0,834166666666667;94738,9101341069;22,166554928461;30000;50000;0;10000;0;0;10000;0;0;42;
137;170000;0,812222222222222;16;10;6;1;91;90;90;95;95;1;584,8;0,812222222222222;88627,2797525462;20,1140011506205;50000;10000;0;10000;0;0;50000;50000;0;115;
138;250000;0,902777777777778;15;9;6;1;93;91;93;92;92;2;650;0,902777777777778;75998,6912987939;19,1743680034324;40000;10000;0;30000;10000;30000;20000;20000;90000;67;
139;300000;0,904444444444445;17;9;8;1;92;94;95;91;92;2;651,2;0,904444444444445;82468,7399349038;20,8924242513779;40000;30000;0;20000;40000;50000;10000;20000;90000;66;
140;70000;0,791944444444445;11;5;6;1;91;92;92;91;90;1;570,2;0,791944444444445;69124,3735362941;15,2556721183085;0;10000;0;10000;20000;20000;10000;0;0;55;
141;210000;0,8925;15;9;6;1;93;90;90;93;91;2;642,6;0,8925;76552,5346293759;19,1182451759432;40000;10000;0;30000;0;0;30000;10000;90000;78;
142;80000;0,791666666666667;12;6;6;1;94;91;90;90;91;1;570;0,791666666666667;73790,0462773315;16,3209475661808;10000;10000;0;40000;10000;0;0;10000;0;80;
143;290000;0,901944444444445;13;6;7;1;94;95;94;94;90;2;649,4;0,901944444444445;68773,1495538757;17,374071964792;10000;20000;0;40000;50000;40000;40000;0;90000;68;
144;250000;0,913055555555556;12;6;6;1;95;90;90;95;94;2;657,4;0,913055555555556;63396,6697407225;16,1665962220929;10000;10000;0;50000;0;0;50000;40000;90000;48;
145;130000;0,8;10;5;5;1;91;93;92;94;93;1;576;0,8;63753,3108055946;14,2244193012748;0;0;0;10000;30000;20000;40000;30000;0;66;
146;350000;0,9225;14;6;8;1;95;94;95;94;94;2;664,2;0,9225;69535,1276913272;17,9934344852947;10000;30000;0;50000;40000;50000;40000;40000;90000;33;
147;180000;0,828888888888889;15;5;10;1;93;91;92;94;93;1;596,8;0,828888888888889;81211,0706112623;18,9036489759492;0;50000;0;30000;10000;20000;40000;30000;0;109;
148;170000;0,881944444444445;15;5;10;1;90;92;91;90;90;2;635;0,881944444444445;74806,8928646507;18,5170035905364;0;50000;0;0;20000;10000;0;0;90000;91;
149;30000;0,789166666666667;11;5;6;1;90;90;90;90;92;1;568,2;0,789166666666667;69305,8366681943;15,2586340869525;0;10000;0;0;0;0;0;20000;0;8;
150;100000;0,841666666666667;15;5;10;1;90;91;90;90;94;1;606;0,841666666666667;80672,0887593328;19,0367825003576;0;50000;0;0;10000;0;0;40000;0;21;
151;310000;0,919166666666667;14;9;5;1;94;93;93;94;94;2;661,8;0,919166666666667;70963,4072912651;18,2190927089649;40000;0;0;40000;30000;30000;40000;40000;90000;40;
152;110000;0,783888888888889;10;5;5;1;90;93;92;93;93;1;564,4;0,783888888888889;65000,3396055306;14,1704371784456;0;0;0;0;30000;20000;30000;30000;0;64;
153;130000;0,883333333333333;13;7;6;1;91;90;90;90;90;2;636;0,883333333333333;69845,2873485584;17,2545196810005;20000;10000;0;10000;0;0;0;0;90000;41;
154;60000;0,829722222222222;12;5;7;1;90;91;91;91;91;1;597,4;0,829722222222222;70055,7832096766;16,2413792025167;0;20000;0;0;10000;10000;10000;10000;0;2;
155;310000;0,921666666666667;11;5;6;2;90;90;93;93;95;2;663,6;0,921666666666667;52387,3593235105;13,4968861875858;0;10000;100000;0;0;30000;30000;50000;90000;30;
156;90000;0,829166666666667;13;5;8;1;90;91;91;90;94;1;597;0,829166666666667;74082,6709483794;17,1761158199729;0;30000;0;0;10000;10000;0;40000;0;17;
157;60000;0,796388888888889;11;5;6;1;90;91;91;93;90;1;573,4;0,796388888888889;68414,4305794996;15,2235699637809;0;10000;0;0;10000;10000;30000;0;0;33;
