Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
140;61.944;3777.000977;23879.31641;35.65960525;821;100;50;99;0.396243178;-0.295614602;0.118904216;-0.228372355;-0.369547615;0.190141849;0.477688089;0.495287959;0.193215677;1.041089008;-0.131042415;0.167827117;0.090292706;-0.112549217;0.005221553;-0.563549275;-0.785749554;61.944;3777.000977;23879.31641;35.65960525;0;1;0
167;105.36;1104.922485;22831.17969;30.60331148;305;100;28;100;0.346234597;-0.243251621;-0.499802824;-0.296202696;0.313604964;-0.426952797;0.368057939;0.249104375;-0.252937118;2.49726594;0.154652645;0.178701794;-1.571386029;0.012351156;-0.16511171;-1.790325465;0.704707588;105.36;1104.922485;22831.17969;30.60331148;0;1;0
171;81.576;1298.71582;22415.77148;37.16604221;457;100;19;93;0.3952686;-0.289528403;-0.071666996;-0.03804309;-0.192447372;-0.091611741;0.492115976;0.42330334;0.144220059;0.991838215;-0.004500167;0.067280526;0.220956698;-0.193862826;0.075750819;-0.57336305;-0.76683315;81.576;1298.71582;22415.77148;37.16604221;0;1;0
173;58.992;4447.185059;25109.14063;33.17486468;853;100;100;99;0.368752908;-0.18431106;0.046555498;-0.258403087;-0.491668848;0.106497951;0.476737288;0.440635277;0.199985155;1.03886654;-0.127950624;-0.038997997;0.089641953;-0.144738872;0.006603892;-0.538571073;-0.783735439;58.992;4447.185059;25109.14063;33.17486468;0;1;0
177;60.408;4367.396484;24899.90234;33.9260145;939;100;46;84;0.370317184;-0.182063113;0.00255138;-0.242933987;-0.489237728;0.106497951;0.477473566;0.440635277;0.199951697;1.038921305;-0.090856494;0.035229381;0.089641953;-0.144738872;-0.100849576;-0.565771269;-0.786477687;60.408;4367.396484;24899.90234;33.9260145;0;1;0
187;140.064;655.4421997;24239.14063;30.4712585;241;100;16;100;0.395047872;-0.299904061;-0.498005596;-0.323421958;0.240862494;-0.427333352;0.367928605;0.257719678;-0.225599976;2.497366697;0.151091361;0.193351489;-1.565717752;0.010833401;-0.463042153;-0.430582929;-0.116415831;140.064;655.4421997;24239.14063;30.4712585;0;1;0
189;115.608;828.7479248;21327.03516;31.60366713;273;95;12;74;0.366118962;-0.245251667;-0.473327692;-0.311198383;0.415227771;-0.370949635;0.371048173;0.255986644;-0.22327152;2.49699218;0.15523809;-0.358478689;-1.567651575;0.015492773;-0.31335961;-2.480199304;-0.79833264;115.608;828.7479248;21327.03516;31.60366713;0;1;0
192;71.329;2284.082031;24368.05469;31.75424347;606;100;45;97;0.367864826;-0.258226492;-0.481343484;-0.310634578;0.277913883;-0.433278259;0.368228205;0.257307245;-0.24057989;2.497334024;0.156677246;0.109860905;-1.575372834;-0.043481257;-0.134087475;-2.118010082;0.419930003;71.329;2284.082031;24368.05469;31.75424347;0;1;0
196;58.512;4996.108398;26435.90625;32.95100185;939;100;61;99;0.368752908;-0.182063113;0.00255138;-0.258403087;-0.491668848;0.106497951;0.476737288;0.440635277;0.199985155;1.03886654;-0.127950624;-0.038997997;0.089641953;-0.144738872;0.006603892;-0.563520003;-0.783735439;58.512;4996.108398;26435.90625;32.95100185;0;1;0
200;68.64;2346.780273;22668.58398;34.12189078;821;99;17;82;0.396249535;-0.2925013;0.078799231;-0.261485028;-0.372100732;0.192809866;0.490418382;0.22135555;0.193215677;1.026531436;-0.132652073;-0.041981317;0.108805692;-0.099711357;0.005227761;-0.610299038;-0.783749328;68.64;2346.780273;22668.58398;34.12189078;0;1;0
203;122.472;745.888916;23195.35352;30.50896303;268;100;17;91;0.397360918;-0.299904061;-0.497551715;-0.323421958;0.240862494;-0.424407393;0.370819923;0.257719678;-0.22503469;2.497365374;0.149827585;0.189499807;-1.565717752;0.017265837;-0.325460732;-1.515470574;-0.120355677;122.472;745.888916;23195.35352;30.50896303;0;1;0
209;92.832;969.7755737;22676.24023;32.76333909;396;99;12;87;0.398230999;-0.2950928;-0.496567883;-0.312703979;0.362387203;-0.403802435;0.370819777;0.257443531;-0.224831607;2.498358885;0.154589293;0.182704021;-1.571478803;-0.100546728;-0.308231276;-2.135445576;-0.144586281;92.832;969.7755737;22676.24023;32.76333909;0;1;0
212;95.856;924.5759277;21128.14453;37.42156348;333;100;17;98;0.358029274;-0.299701449;-0.133934154;-0.198279413;-0.155331211;0.066937344;0.498860676;0.354763868;0.153323844;0.99013719;-0.004131116;0.132183581;0.08514694;-0.109957746;-0.047335995;-0.550912799;-0.725604274;95.856;924.5759277;21128.14453;37.42156348;0;1;0
214;66.744;2571.619873;23878.0957;36.18644167;620;100;50;99;0.39042161;-0.242962062;0.083729107;-0.224706217;-0.368113628;0.173269469;0.479654184;0.261896902;0.194566596;1.023322822;-0.094660176;0.136770396;0.09025976;-0.070180304;-0.102860079;-0.429722139;0.733964302;66.744;2571.619873;23878.0957;36.18644167;0;1;0
216;77.834;2126.573242;27098.01367;30.51972727;585;100;17;91;0.120781924;-0.299904061;-0.496286149;-0.323421958;0.240880386;-0.424640381;0.367665523;0.257470426;-0.225061785;2.498100696;0.149827585;0.189499807;-1.565717752;0.017265837;-0.318537126;-2.086495993;-0.15735508;77.834;2126.573242;27098.01367;30.51972727;0;1;0
222;102.6;1313.099976;22113.06055;30.60369604;308;100;41;100;0.346234597;-0.243251621;-0.499694089;-0.296202696;0.313604964;-0.426952797;0.368057939;0.249104375;-0.252937118;2.49726594;0.154652645;0.178701794;-1.571386029;0.012351156;0.042204474;-1.790325465;0.704707588;102.6;1313.099976;22113.06055;30.60369604;0;1;0
