Iteration;minWIP;minPayOff;maxTP;S1_ActiveNum;S3_ActiveNum;B1_Capacity;B3_Capacity;B4_Capacity;B5_Capacity;B2_Capacity;N2;M3;M6;PartsProduced;Throughput;LeadTime;WIP;TwoOld;OneNew;ParallelMCost;TwoSlow;ThreeSlow;TwoFast;NumBuffers;Replications;ConstraintViolation;Iteration;Rank;
57;130,174628470352;6,97593895240316;4,46904761904762;2;2;36;27;40;31;18;6;1;2;750,8;4,46904761904762;101583,087010368;130,174628470352;0;1;250000;0;1;0;152;10;0;57;34;
58;92,1621466159013;19,6109067345394;1,25714285714286;1;2;45;25;40;25;43;1;1;2;211,2;1,25714285714286;235008,54678522;92,1621466159013;1;0;500000;0;1;0;178;10;0;58;62;
59;86,1957782178666;7,7188072982777;4,77321428571429;2;2;13;34;14;24;16;6;1;1;801,9;4,77321428571429;64608,6330289303;86,1957782178666;0;1;500000;0;1;0;101;10;0;59;29;
60;122,164341386987;6,13823217672837;5,50654761904762;1;3;5;19;46;2;46;6;2;1;925,1;5,50654761904762;75925,4833722318;122,164341386987;1;0;500000;0;0;1;118;10;0;60;24;
61;125,60112736452;7,09409582552214;4,37797619047619;2;2;49;25;13;34;29;6;2;2;735,5;4,37797619047619;101588,359014407;125,60112736452;0;1;250000;0;1;0;150;10;0;61;34;
62;128,358758863222;10,0105956705482;3,14345238095238;2;1;8;37;34;35;43;4;2;1;528,1;3,14345238095238;135891,775582443;128,358758863222;0;1;500000;1;0;0;157;10;0;62;37;
63;32,8140417370661;14,1404921264445;1,27857142857143;1;3;13;25;14;25;16;1;1;2;214,8;1,27857142857143;92142,3933933122;32,8140417370661;1;0;500000;0;0;1;93;10;0;63;55;
64;101,066696794;7,59124466921971;3,19464285714286;1;1;31;14;47;17;12;3;1;2;536,7;3,19464285714286;105472,307711318;101,066696794;1;0;500000;1;0;0;121;10;0;64;33;
65;78,536970423179;4,81008183066302;4,91309523809524;1;3;2;45;3;21;19;6;2;2;825,4;4,91309523809524;56900,2726884448;78,536970423179;1;0;250000;0;0;1;90;10;0;65;22;
66;85,5335782330406;8,54870612153394;3,15833333333333;2;1;8;46;7;42;26;3;1;1;530,6;3,15833333333333;91530,8468857531;85,5335782330406;0;1;500000;1;0;0;129;10;0;66;34;
67;57,7908893520283;8,26546281744242;3,79880952380952;2;2;30;36;36;35;19;3;1;1;638,2;3,79880952380952;54891,1854254569;57,7908893520283;0;1;500000;0;1;0;156;10;0;67;31;
68;90,8657448434926;4,8448503267229;5,08690476190476;1;3;26;14;13;26;29;6;1;2;854,6;5,08690476190476;63697,5838974541;90,8657448434926;1;0;250000;0;0;1;108;10;0;68;23;
69;37,027185247794;5,43296904335174;5,06309523809524;2;3;5;25;17;2;19;4;2;1;850,6;5,06309523809524;26267,9344723224;37,027185247794;0;1;500000;0;0;1;68;10;0;69;19;
70;68,5444037887565;8,391581460715;2,54107142857143;1;1;18;35;4;20;43;2;1;1;426,9;2,54107142857143;96230,0081011095;68,5444037887565;1;0;500000;1;0;0;120;10;0;70;43;
71;94,8141833396397;7,21212575466527;4,72678571428571;2;2;16;41;19;15;12;5;1;2;794,1;4,72678571428571;69828,4647955652;94,8141833396397;0;1;500000;0;1;0;103;10;0;71;32;
72;57,6575455910047;9,98058778513569;2,52678571428571;2;3;14;32;29;14;39;2;2;1;424,5;2,52678571428571;82008,009382851;57,6575455910047;0;1;500000;0;0;1;128;10;0;72;49;
73;32,4496992060847;4,71607433103452;3,93511904761905;1;3;3;18;34;1;20;3;2;2;661,1;3,93511904761905;29631,7551292208;32,4496992060847;1;0;250000;0;0;1;76;10;0;73;16;
74;157,836925955783;5,61268096628731;5,11547619047619;1;3;46;40;24;29;40;6;2;2;859,4;5,11547619047619;104559,465290702;157,836925955783;1;0;250000;0;0;1;179;10;0;74;26;
75;69,2636356588525;6,0447651500376;5,16845238095238;2;3;26;14;3;21;19;5;1;2;868,3;5,16845238095238;48252,4861933757;69,2636356588525;0;1;500000;0;0;1;83;10;0;75;24;
76;82,6840370994642;6,36769709747359;4,13273809523809;2;3;36;49;34;14;39;3;2;2;694,3;4,13273809523809;71392,6368494196;82,6840370994642;0;1;250000;0;0;1;172;10;0;76;31;
77;27,7522632056425;18,7346728904622;1,26904761904762;2;3;14;32;49;46;11;1;1;1;213,2;1,26904761904762;78713,1380889532;27,7522632056425;0;1;500000;0;0;1;152;10;0;77;56;
78;125,168934751496;8,07416045660207;4,72857142857143;1;2;11;46;12;49;46;6;2;1;794,4;4,72857142857143;90540,3334243928;125,168934751496;1;0;500000;0;1;0;164;10;0;78;34;
79;49,5712308783383;10,011098553037;2,54285714285714;1;2;3;19;46;34;40;2;2;1;427,2;2,54285714285714;70040,6920439487;49,5712308783383;1;0;500000;0;1;0;142;10;0;79;43;
80;116,10825475074;7,6024632355503;4,7422619047619;2;2;46;8;24;29;30;5;2;1;796,7;4,7422619047619;87029,54002318;116,10825475074;0;1;500000;0;1;0;137;10;0;80;33;
