Iteration;O1Time;O2Power;O3Energy;O4Area;velmax;veloverride;acclimit;ramplimit;dr;dz;InBanaWOdr;InBanaWOrz;InBanaWOdrz;UtBanaWOdr;UtBanaWOrz;UtBanaWOdrz;OP1WOdr;OP1WOrz;OP1WOdrz;OP2WOdr;OP2WOrz;OP2WOdrz;OP3WOdr;OP3WOrz;OP3WOdrz;Time;Power;Energy;Area;Error;Replications;ConstraintViolation
50085;80.184;1576.733398;23166.04297;54.35496288;499;99;32;94;0.356128819;-0.278635793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80.184;1576.733398;23166.04297;54.35496288;0;1;0
50087;116.4;782.7616577;21550.6582;54.35496288;283;100;18;96;0.361217324;-0.284304466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116.4;782.7616577;21550.6582;54.35496288;0;1;0
50089;83.664;1395.64209;22942.55078;54.35496288;494;97;16;100;0.350134557;-0.289372718;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.664;1395.64209;22942.55078;54.35496288;0;1;0
50095;72.168;2597.242432;24372.3457;54.35496288;629;100;51;100;0.247394594;-0.28566494;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.168;2597.242432;24372.3457;54.35496288;0;1;0
50096;78.552;2066.608398;23262.55273;54.35496288;495;100;56;93;0.332780945;-0.291731446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.552;2066.608398;23262.55273;54.35496288;0;1;0
50097;63.312;4867.895508;27476.92383;54.35496288;990;100;100;99;0.228357605;-0.242464085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63.312;4867.895508;27476.92383;54.35496288;0;1;0
50099;78.888;1669.420044;23407.55273;54.35496288;568;97;26;96;0.332757598;-0.291559042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.888;1669.420044;23407.55273;54.35496288;0;1;0
50102;137.256;636.2081909;21520.59961;54.35496288;232;100;11;40;0.393712075;-0.270973402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137.256;636.2081909;21520.59961;54.35496288;0;1;0
50105;72.288;2363.274902;24431.2207;54.35496288;674;99;39;95;0.258730944;-0.289076765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72.288;2363.274902;24431.2207;54.35496288;0;1;0
50106;78.48;2135.47876;23277.9082;54.35496288;495;100;60;93;0.349480894;-0.292455544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.48;2135.47876;23277.9082;54.35496288;0;1;0
50109;70.296;2789.261963;24881.7168;54.35496288;716;100;45;93;0.235394172;-0.297703658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70.296;2789.261963;24881.7168;54.35496288;0;1;0
